title,address,city,state,zip_code,price,beds,baths,area,region
Apartment For Sale,546 Cortland St,Albany ,NY ,12208,259000,4,,1624,albany
Foreclosure,34 Stephen St,Albany ,NY ,12202,10500,6,3,2520,albany
Foreclosure,50 2nd Ave,Albany ,NY ,12202,10500,5,2,3002,albany
Apartment For Sale,460 West St,Albany ,NY ,12206,59900,5,2,2260,albany
House For Sale,193 Homestead Ave,Albany ,NY ,12206,235000,3,2,1968,albany
Apartment For Sale,575 Washington Ave,Albany ,NY ,12206,184900,8,2,2506,albany
Townhouse For Sale,117 Knollwood Ter,Albany ,NY ,12203,162500,4,3,1472,albany
House For Sale,83 Clermont St,Albany ,NY ,12203,179500,2,1,1498,albany
House For Sale,118 Jefferson St,Albany ,NY ,12210,229000,2,2,1444,albany
For Sale by Owner,181 Sheridan Ave,Albany ,NY ,12210,105000,7,2,2200,albany
Townhouse For Sale,17 S Lake Ave,Albany ,NY ,12203,339900,3,2,2320,albany
Apartment For Sale,77 Elizabeth St,Albany ,NY ,12202,30000,6,2,2000,albany
House For Sale,403 Whitehall Rd,Albany ,NY ,12208,165000,3,2,1150,albany
House For Sale,23 Home Ave,Albany ,NY ,12208,225000,3,2,1582,albany
Pre-Foreclosure (Auction),Swartson Ct,Albany ,NY ,12209,,3,2,1657,albany
Pre-Foreclosure (Auction),Garden Ave,Albany ,NY ,12203,,3,1,1000,albany
Pre-Foreclosure (Auction),Lark St,Albany ,NY ,12210,,3,3,2160,albany
Pre-Foreclosure (Auction),Slingerland St,Albany ,NY ,12202,,2,2,1856,albany
Pre-Foreclosure (Auction),Myrtle Ave,Albany ,NY ,12202,,5,2,2122,albany
Pre-Foreclosure (Auction),Madison Ave,Albany ,NY ,12210,,5,3,3000,albany
House For Sale,47 Myrtle Ave,Albany ,NY ,12202,218000,4,3,2000,albany
House For Sale,32 Miller Ave,Albany ,NY ,12203,184900,3,1,1227,albany
Apartment For Sale,291 1st St,Albany ,NY ,12206,44000,,,,albany
Apartment For Sale,88 Madison Ave,Albany ,NY ,12202,249000,5,4,3462,albany
Apartment For Sale,72 Ontario St,Albany ,NY ,12206,78000,,,,albany
Apartment For Sale,5 Tremont St,Albany ,NY ,12205,189900,2,,1232,albany
House For Sale,121 3rd Ave,Albany ,NY ,12202,59900,2,1,1012,albany
House For Sale,119 3rd Ave,Albany ,NY ,12202,49900,3,1,1200,albany
House For Sale,124 Terrace Ave,Albany ,NY ,12203,249900,3,3,2148,albany
Apartment For Sale,35 Marshall St,Albany ,NY ,12209,169900,6,2,2010,albany
Apartment For Sale,9 Barrows St,Albany ,NY ,12209,189900,6,2,2200,albany
Lot/Land For Sale,179 3rd Ave,Albany ,NY ,12202,12500,,,,albany
Lot/Land For Sale,181 3rd Ave,Albany ,NY ,12202,12500,,,,albany
House For Sale,154 Cardinal Ave,Albany ,NY ,12209,258000,3,2,1572,albany
House For Sale,396 Greenway,Albany ,NY ,12208,225000,3,3,1750,albany
House For Sale,856 Myrtle Ave,Albany ,NY ,12208,174900,4,3,1663,albany
Condo For Sale,399 State St APT 703,Albany ,NY ,12210,139500,1,1,613,albany
Foreclosure,513 Hamilton St,Albany ,NY ,12203,64900,4,1,1273,albany
Condo For Sale,907 Greenwich Dr,Albany ,NY ,12203,125000,2,1,1050,albany
House For Sale,30 E Parkwood St,Albany ,NY ,12203,179900,3,1,1121,albany
Foreclosed,393 Livingston Ave,Albany ,NY ,12206,,,,,albany
For Sale by Owner,49 Dove St,Albany ,NY ,12210,289000,3,3,2307,albany
Apartment For Sale,238 Morris St,Albany ,NY ,12208,111600,6,2,2616,albany
House For Sale,30 Kelton Ct,Albany ,NY ,12209,164900,3,1,1053,albany
Condo For Sale,355 State St APT 2W,Albany ,NY ,12210,329900,3,2,2376,albany
Foreclosure,37 Park Ave,Albany ,NY ,12203,199900,4,3,2236,albany
Apartment For Sale,60 Ontario St,Albany ,NY ,12206,79900,4,2,1932,albany
House For Sale,43 Tryon Ct,Albany ,NY ,12203,145000,3,2,1254,albany
Apartment For Sale,330 Madison Ave,Albany ,NY ,12210,449900,,,,albany
Apartment For Sale,330 Madison Ave,Albany ,NY ,12210,449900,,,,albany
House For Sale,365 Sherman St # 367,Albany ,NY ,12206,84900,2,2,1168,albany
New Construction,34 Andriana Ln # P5YGIX,Albany ,NY ,12204,,3,3,,albany
House For Sale,72 Ormond St,Albany ,NY ,12203,159900,3,2,1040,albany
Apartment For Sale,60 Holmes Ct,Albany ,NY ,12209,194900,3,2,1494,albany
House For Sale,66 Orlando Ave,Albany ,NY ,12203,160000,3,1,1075,albany
Apartment For Sale,236 Quail St,Albany ,NY ,12203,194900,5,2,2124,albany
Pre-Foreclosure (Auction),2nd St,Albany ,NY ,12206,,4,2,1920,albany
Pre-Foreclosure (Auction),2nd St,Albany ,NY ,12206,,,,,albany
Pre-Foreclosure (Auction),Marwood St,Albany ,NY ,12209,,3,,1576,albany
House For Sale,11 Justin St,Latham ,NY ,12210,405135,2,2,1610,albany
House For Sale,27 Park Ave,Albany ,NY ,12203,179900,3,2,1152,albany
