title,address,city,state,zip_code,price,beds,baths,area,region
Auction,406 Elliott St,Syracuse ,NY ,13204,,3,1,1176,syracuse
Apartment For Sale,1107 Butternut St,Syracuse ,NY ,13208,5000,4,2,2002,syracuse
House For Sale,503 Avery Ave,Syracuse ,NY ,13204,35400,3,2,1688,syracuse
House For Sale,125 Champlin Dr,Syracuse ,NY ,13206,89900,3,1,1248,syracuse
House For Sale,601 Rowland St & Hoefler St,Syracuse ,NY ,13204,6900,3,1,1029,syracuse
Make Me Move®,310 Scott Ave,Syracuse ,NY ,13224,217000,4,3,2073,syracuse
For Sale by Owner,204 Lorraine Ave,Syracuse ,NY ,13210,104900,3,2,1170,syracuse
Apartment For Sale,414 Court St,Syracuse ,NY ,13208,69900,6,2,2175,syracuse
House For Sale,416 Nichols Ave,Syracuse ,NY ,13206,149900,4,2,1512,syracuse
Apartment For Sale,101 Mary St,Syracuse ,NY ,13208,54500,5,2,2312,syracuse
House For Sale,118 Ramsey Ave,Syracuse ,NY ,13224,189000,4,3,2117,syracuse
House For Sale,334 Forest Hill Dr,Syracuse ,NY ,13206,119900,3,2,1319,syracuse
House For Sale,105 Byrne Pl,Syracuse ,NY ,13205,97000,3,1,1080,syracuse
House For Sale,147 Sunhill Ter,Syracuse ,NY ,13207,79900,2,2,1180,syracuse
House For Sale,112 Aberdeen Ter,Syracuse ,NY ,13206,147500,3,2,2101,syracuse
House For Sale,217 Highland Ave,Syracuse ,NY ,13203,241000,5,,3888,syracuse
Apartment For Sale,129 Spring St,Syracuse ,NY ,13208,9900,6,3,2112,syracuse
House For Sale,338 Boston St,Syracuse ,NY ,13206,60000,3,1,1130,syracuse
Apartment For Sale,717 Teall Ave # 19,Syracuse ,NY ,13206,69900,6,2,3016,syracuse
House For Sale,2111 S Geddes St,Syracuse ,NY ,13207,57900,3,1,1568,syracuse
House For Sale,401 Burdick Ave,Syracuse ,NY ,13208,34900,4,2,1545,syracuse
Townhouse For Sale,526 Plum St # 309,Syracuse ,NY ,13204,248800,1,2,1086,syracuse
House For Sale,3312 James St,Syracuse ,NY ,13206,349900,3,4,4190,syracuse
Auction,100 Pierce Street & Rill Ave,Syracuse ,NY ,13205,,2,1,757,syracuse
House For Sale,810 Court St,Syracuse ,NY ,13208,52900,4,1,1732,syracuse
Apartment For Sale,1019 Madison St # 21,Syracuse ,NY ,13210,850000,9,4,2912,syracuse
Condo For Sale,917 Madison St APT 114,Syracuse ,NY ,13210,164900,2,1,1065,syracuse
New Construction,169 Xavier Cir,Syracuse ,NY ,13210,289900,2,2,1400,syracuse
Townhouse For Sale,133 Walton St APT 134,Syracuse ,NY ,13202,309500,3,3,2320,syracuse
House For Sale,500 Greenwood Pl,Syracuse ,NY ,13210,139900,5,2,2652,syracuse
Make Me Move®,235 Bryant Ave,Syracuse ,NY ,13204,1249990,4,2,2400,syracuse
House For Sale,310 Stratford St,Syracuse ,NY ,13210,284900,4,3,2400,syracuse
House For Sale,124 Benedict Ave,Syracuse ,NY ,13210,9900,2,1,777,syracuse
House For Sale,318 Goodrich Ave,Syracuse ,NY ,13210,126900,3,2,1672,syracuse
Townhouse For Sale,2004 Genesee St E Westcott S # A,Syracuse ,NY ,13210,184500,1,2,1092,syracuse
House For Sale,316 Scott Ave,Syracuse ,NY ,13224,169900,4,3,2040,syracuse
For Sale by Owner,851-53 Ackerman Ave,Syracuse ,NY ,13210,295000,6,2,2636,syracuse
