title,address,city,state,zip_code,price,beds,baths,area,region
Pre-Foreclosure (Auction),Main St,Buffalo ,NY ,14214,,4,2,2896,buffalo
Pre-Foreclosure (Auction),Century Rd,Cheektowaga ,NY ,14215,,3,,1546,buffalo
Pre-Foreclosure (Auction),Weimar St,Buffalo ,NY ,14206,,3,1,1206,buffalo
Pre-Foreclosure (Auction),French St,Buffalo ,NY ,14211,,6,2,2574,buffalo
Pre-Foreclosure (Auction),Ontario St,Buffalo ,NY ,14207,,3,1,985,buffalo
Pre-Foreclosure (Auction),Highgate Ave,Buffalo ,NY ,14215,,4,1,1626,buffalo
Apartment For Sale,36 Guernsey St,Buffalo ,NY ,14207,109900,5,2,2048,buffalo
Apartment For Sale,179 Butler Ave,Buffalo ,NY ,14208,85000,6,,2809,buffalo
House For Sale,46 Treehaven Rd,Buffalo ,NY ,14215,129900,2,1,996,buffalo
House For Sale,77 Pries Ave,Buffalo ,NY ,14220,64900,2,1,1252,buffalo
Apartment For Sale,165 Colvin Ave,Buffalo ,NY ,14216,279900,6,2,2754,buffalo
House For Sale,236 Villa Ave,Buffalo ,NY ,14216,164900,3,2,1408,buffalo
Pre-Foreclosure,Brunswick Blvd,Buffalo ,NY ,14208,,6,2,2601,buffalo
Foreclosed,165 Stevenson St,Buffalo ,NY ,14210,,,,,buffalo
Foreclosed,251 Merrimac St,Buffalo ,NY ,14214,,,,,buffalo
House For Sale,144 Northampton St,Buffalo ,NY ,14209,49900,3,2,1801,buffalo
For Sale by Owner,475 Linwood Ave,Buffalo ,NY ,14209,390000,4,2,8982,buffalo
For Sale by Owner,135 Newburgh Ave,Buffalo ,NY ,14211,70000,4,2,1512,buffalo
Apartment For Sale,75 Deshler St,Buffalo ,NY ,14212,58000,6,2,1528,buffalo
House For Sale,38 Frontenac Ave,Buffalo ,NY ,14216,249900,3,2,1623,buffalo
House For Sale,60 Summit Ave,Buffalo ,NY ,14214,259900,4,2,1700,buffalo
House For Sale,64 Radcliffe Rd,Buffalo ,NY ,14214,179900,3,2,1937,buffalo
Apartment For Sale,120 West Ave,Buffalo ,NY ,14201,224900,6,2,2340,buffalo
House For Sale,97 Texas St,Buffalo ,NY ,14215,54900,4,1,1008,buffalo
Apartment For Sale,157 Goembel Ave,Buffalo ,NY ,14211,50000,5,2,1350,buffalo
House For Sale,179 Columbus Ave,Buffalo ,NY ,14220,129900,3,1,1664,buffalo
House For Sale,241 Monroe St,Buffalo ,NY ,14206,109000,3,5,1204,buffalo
House For Sale,59 Aldrich Pl,Buffalo ,NY ,14220,85000,3,1,1280,buffalo
Pre-Foreclosure,Morris Ave,Buffalo ,NY ,14214,,6,3,2708,buffalo
Apartment For Sale,337 Lasalle Ave,Buffalo ,NY ,14215,124900,3,2,1796,buffalo
House For Sale,37 Middlesex Rd,Buffalo ,NY ,14216,1590000,7,7,6923,buffalo
Apartment For Sale,188 Fougeron St,Buffalo ,NY ,14211,70000,5,2,1786,buffalo
Pre-Foreclosure,Cumberland Ave,Buffalo ,NY ,14220,,4,2,2231,buffalo
House For Sale,36 Robins St,Buffalo ,NY ,14220,130000,3,1,1478,buffalo
Condo For Sale,125 Edward St APT 2E,Buffalo ,NY ,14201,179900,1,1,976,buffalo
Apartment For Sale,52 Newburgh Ave,Buffalo ,NY ,14211,65000,4,2,1902,buffalo
For Sale by Owner,15 Rugby Rd,Buffalo ,NY ,14216,319000,6,2,2876,buffalo
Apartment For Sale,72 Central Ave,Buffalo ,NY ,14206,79900,6,2,2112,buffalo
Apartment For Sale,172 Albany St,Buffalo ,NY ,14213,199000,9,3,3308,buffalo
Apartment For Sale,170 Selkirk St,Buffalo ,NY ,14210,100000,7,3,2029,buffalo
Apartment For Sale,127 Fougeron St,Buffalo ,NY ,14211,70000,3,2,1682,buffalo
Pre-Foreclosure,Sumner Pl,Buffalo ,NY ,14211,,3,1,1496,buffalo
Apartment For Sale,267 Laurel St,Buffalo ,NY ,14208,64900,5,2,1848,buffalo
House For Sale,349 Auburn Ave,Buffalo ,NY ,14213,219900,4,2,1796,buffalo
Apartment For Sale,221 Sprenger Ave,Buffalo ,NY ,14211,74900,6,2,1968,buffalo
