title,address,city,state,zip_code,price,beds,baths,area,region
House For Sale,24 Tracy St,Binghamton ,NY ,13905,59900,3,2,936,binghamton
House For Sale,31 Amsbry St,Binghamton ,NY ,13901,75000,3,2,1454,binghamton
House For Sale,23 Bennett Ave,Binghamton ,NY ,13905,95000,4,3,1825,binghamton
Pre-Foreclosure (Auction),Pennsylvania Ave,Binghamton ,NY ,13903,,4,2,2424,binghamton
Pre-Foreclosure (Auction),Home Ave,Binghamton ,NY ,13903,,4,,2639,binghamton
Foreclosed,5 W End Ave,Binghamton ,NY ,13905,,,,,binghamton
Foreclosed,25 Park St,Binghamton ,NY ,13905,,,,,binghamton
Foreclosed,12 Brownell Ave,Binghamton ,NY ,13905,,,,,binghamton
Apartment For Sale,39 Sheldon St,Binghamton ,NY ,13903,109000,,,,binghamton
Apartment For Sale,119 Park Ave,Binghamton ,NY ,13903,129900,,,,binghamton
House For Sale,62 Howard Ave,Binghamton ,NY ,13904,74900,1,1,720,binghamton
House For Sale,2033 Cheshire Rd,Binghamton ,NY ,13903,395000,4,3,3926,binghamton
For Sale by Owner,23 Nash St,Binghamton ,NY ,13904,79500,3,2,1152,binghamton
Apartment For Sale,3 Hayden St,Binghamton ,NY ,13905,104000,,,,binghamton
House For Sale,74 Crestmont Rd,Binghamton ,NY ,13905,123000,3,1,1551,binghamton
Apartment For Sale,97 Helen St,Binghamton ,NY ,13905,159900,,,,binghamton
House For Sale,6 Brintnall Pl,Binghamton ,NY ,13905,144900,3,1,2172,binghamton
Apartment For Sale,56 Pine St,Binghamton ,NY ,13901,47900,,,,binghamton
House For Sale,37 Lathrop Ave,Binghamton ,NY ,13905,129900,3,2,2039,binghamton
Foreclosure,20 Lorraine Ave,Binghamton ,NY ,13905,49999,3,1,1160,binghamton
House For Sale,37 Fairview Ave,Binghamton ,NY ,13904,60900,2,1,1020,binghamton
House For Sale,5 Berwick Ave,Binghamton ,NY ,13904,33000,2,1,1080,binghamton
House For Sale,32 Vestal Ave,Binghamton ,NY ,13903,89000,3,1,1214,binghamton
House For Sale,5 Spring St,Binghamton ,NY ,13903,74000,3,1,1810,binghamton
House For Sale,82 Mary St,Binghamton ,NY ,13903,17000,4,2,2068,binghamton
Apartment For Sale,25 Colfax Ave,Binghamton ,NY ,13905,73750,3,2,2314,binghamton
House For Sale,67 Aldrich Ave,Binghamton ,NY ,13903,184900,3,3,1755,binghamton
House For Sale,3210 Hance Rd,Binghamton ,NY ,13903,176000,3,2,2016,binghamton
House For Sale,5 Evans St,Binghamton ,NY ,13903,34000,3,2,1521,binghamton
House For Sale,113 Mason Ave,Binghamton ,NY ,13904,54900,3,1,1350,binghamton
House For Sale,1347 Hawleyton Rd,Binghamton ,NY ,13903,139900,4,2,1568,binghamton
Lot/Land For Sale,773 Saddlemire,Binghamton ,NY ,13903,34000,,,,binghamton
House For Sale,20 Lourdes Rd,Binghamton ,NY ,13905,149900,3,2,1577,binghamton
Foreclosed,68 Thorp St,Binghamton ,NY ,13905,,,,,binghamton
House For Sale,13 Orton Ave,Binghamton ,NY ,13905,32000,3,2,1164,binghamton
Foreclosure,3 N Louisa St,Binghamton ,NY ,13901,119900,3,2,2380,binghamton
House For Sale,5 Evelyn Pl,Binghamton ,NY ,13903,70000,2,1,885,binghamton
Apartment For Sale,41 Park Ave,Binghamton ,NY ,13903,74900,,,,binghamton
House For Sale,5 Zane Rd,Binghamton ,NY ,13903,119900,3,1,1532,binghamton
House For Sale,14 Lathrop Ave,Binghamton ,NY ,13905,174500,3,2,1998,binghamton
Apartment For Sale,26 Doubleday St,Binghamton ,NY ,13901,79000,,,,binghamton
Apartment For Sale,5 Herman Ave,Binghamton ,NY ,13905,62085,,,,binghamton
House For Sale,101 Upper Vine St,Binghamton ,NY ,13903,55000,3,1,1029,binghamton
House For Sale,16 Elisabeth Ln,Binghamton ,NY ,13903,78000,3,2,1718,binghamton
House For Sale,63 Windy Hill Rd,Binghamton ,NY ,13904,98500,2,2,984,binghamton
House For Sale,22 Amsbry St,Binghamton ,NY ,13901,79500,3,2,1200,binghamton
House For Sale,15 Chapin St,Binghamton ,NY ,13905,244900,4,3,2548,binghamton
Apartment For Sale,94 Park Ave,Binghamton ,NY ,13903,49900,,,,binghamton
Lot/Land For Sale,47 & 49 Grand St,Binghamton ,NY ,13903,6000,,,,binghamton
Lot/Land For Sale,1644 Hawleyton Rd,Binghamton ,NY ,13903,359000,,,,binghamton
Apartment For Sale,92 Robinson St,Binghamton ,NY ,13901,75000,1,1,3128,binghamton
Apartment For Sale,36 Downs Ave,Binghamton ,NY ,13905,65000,4,1,2184,binghamton
House For Sale,62 Dickinson St,Binghamton ,NY ,13905,279000,8,4,4760,binghamton
House For Sale,26 Sheldon St,Binghamton ,NY ,13903,74900,2,2,1419,binghamton
House For Sale,3 Macon St,Binghamton ,NY ,13903,92000,3,1,1104,binghamton
House For Sale,19 Weslar Ct,Binghamton ,NY ,13903,199000,3,4,2424,binghamton
Foreclosed,59 Bigelow St,Binghamton ,NY ,13904,,,,,binghamton
House For Sale,26 Ogden St,Binghamton ,NY ,13901,42000,2,2,1627,binghamton
House For Sale,47 Colfax Ave,Binghamton ,NY ,13905,73900,4,1,1616,binghamton
Apartment For Sale,30 Holland St,Binghamton ,NY ,13905,79900,,,,binghamton
Apartment For Sale,13 Miles St,Binghamton ,NY ,13905,69900,,,,binghamton
House For Sale,9 Green St,Binghamton ,NY ,13901,68500,4,1,2200,binghamton
House For Sale,3 Millard Ave,Binghamton ,NY ,13905,179900,3,3,2000,binghamton
House For Sale,219 Leroy St,Binghamton ,NY ,13905,149900,3,2,1768,binghamton
Lot/Land For Sale,37 N Ely St,Binghamton ,NY ,13901,7000,,,,binghamton
House For Sale,357 Ahern Rd,Binghamton ,NY ,13903,44500,3,2,1170,binghamton
Foreclosure,44 Riverside St,Binghamton ,NY ,13904,46750,3,2,1298,binghamton
Apartment For Sale,13 Holland St,Binghamton ,NY ,13905,65000,,,,binghamton
House For Sale,20 Rotary Ave,Binghamton ,NY ,13905,124900,3,2,2236,binghamton
House For Sale,6 Minerva Ave,Binghamton ,NY ,13905,129000,3,2,1440,binghamton
House For Sale,23 Yager St,Binghamton ,NY ,13901,69900,3,1,1212,binghamton
Apartment For Sale,82 Pine St,Binghamton ,NY ,13901,67000,,,,binghamton
Lot/Land For Sale,43 Mohawk St,Binghamton ,NY ,13903,70000,,,,binghamton
House For Sale,26 Timberland Dr,Binghamton ,NY ,13903,299000,5,4,4360,binghamton
House For Sale,210 Robinson St,Binghamton ,NY ,13904,94000,3,3,2160,binghamton
Apartment For Sale,152 Murray St,Binghamton ,NY ,13905,129900,9,2,3700,binghamton
House For Sale,11 Everett St,Binghamton ,NY ,13905,54900,2,1,1106,binghamton
Apartment For Sale,11 North St,Binghamton ,NY ,13905,425000,,,,binghamton
House For Sale,11 Oak St,Binghamton ,NY ,13905,211900,4,3,2615,binghamton
